"","name","desc","langCat"
"167","Hevy","Bold clone who sacrifices himself to save a base on Kamino during the Clone Wars and works with Domino Squad. His nickname was acquired by the fact that he is the one in the squad who carries the heavy guns.","middle_frisian"
"168","San Hill","Chairman of the Intergalactic Banking Clan, killed by Darth Vader in Revenge of the Sith.","swedish"
"169","Grand Moff Bertroff Hissa","Leading figure in an attempt to overthrow Ysanne Isard as the head of the Galactic Empire. Hissa founded the Central Committee of Grand Moffs, who installed Trioculus as their figurehead. First appears in the novel The Glove of Darth Vader.","german"
"170","Corran Horn","X-wing pilot and Jedi Master. I, Jedi is narrated from his first-person perspective. Michael Stackpole, who created the character for the X-Wing series, depicts Horn in the Star Wars Customizable Card Game. Married to Mirax Terrik. He appears in several novels in the Yuuzhan Vong War and the Second Galactic War, the latter of which he serves on the Jedi Council.","catalan"
"171","Huyang","An architect droid in the service of the Jedi Order. He was stationed on board the Jedi training cruiser Crucible, where he assisted Jedi initiates in constructing their lightsabers. His voice actor, David Tennant, won an Emmy for this role.","malay"
"172","IG-88","Bounty hunter introduced in The Empire Strikes Back. Ralph McQuarrie's production sketches show a sleeker design than the droid that appears in The Empire Strikes Back. The term ""IG-88"" is not its original name: The script calls the character a ""chrome war droid"", and during production it was called ""Phlutdroid"". The production puppet consisted of recycled props from A New Hope, including the Mos Eisley Cantina drink dispenser as its head. Destroyed by Dash Rendar in the Shadows of the Empire storyline.","rumantsch"
"173","Ikrit","A furry white Jedi Master. He was trained by Yoda, and later saved his planet. He slept several centuries to be awakened by Anakin Solo. Ikrit bears resemblance to a rabbit and red panda. He appears in Junior Jedi Knights and Edge of Victory: Conquest.","frisian"
"174","Armand Isard","Father of Ysanne Isard. Member of Palpatine's Inner Circle since the Clone Wars, and served as Director of Republic Intelligence. Became Director of Imperial Intelligence after the Empire replaced the Republic. He was later betrayed and executed by either his daughter or Emperor Palpatine — most likely the former.","english"
"175","Ysanne Isard","Former head of Imperial Intelligence and leader of the Empire in the X-Wing book series. She betrayed and executed her own father, Armand. Isard and her clone are killed in Isard's Revenge.","frisian"
"176","Irek Ismaren","Antagonist in Children of the Jedi and the New Jedi Order's Enemy Lines duology.","basque"
"177","Prince Isolder","Character who courts Princess Leia in The Courtship of Princess Leia. Killed by Darth Caedus in Invincible. Married to Teneniel Djo, father of Tenel Ka.","danish"
"178","Jabba the Hutt","A crime boss employing bounty hunters in The Phantom Menace, The Clone Wars, A New Hope and Return of the Jedi, killed by Leia Organa aboard his sail barge in Return of the Jedi.","scots"
"179","Mara Jade Skywalker","""Emperor's Hand"" to Palpatine during his reign; Luke Skywalker's wife.","indonesian"
"180","Shimrra Jamaane","The Supreme Overlord of the Yuuzhan Vong Empire who turned out to be nothing more than a puppet by the Force-sensitive Vong Shamed One Onimi. By the end of The New Jedi Order, he was killed in combat by Luke Skywalker.","sanskrit"
"181","Queen Jamillia","Queen of Naboo succeeding Padmé Amidala.","finnish"
"182","Wes Janson","A fighter pilot and founding member of the elite Rogue Squadron, who was featured during one scene in The Empire Strikes Back as the gunner for Wedge Antilles' T-47 Snowspeeder. He is also heavily featured in the X-wing Series and is mentioned frequently for his light-hearted, almost childlike demeanor.","french"
"183","Kanan Jarus","Jedi and master of Ezra Bridger and apprentice to Depa Billaba. He carries a blue lightsaber that can be detached. He was uncertain of himself in training his padawan Ezra Bridger. Even he still has things to learn.","indonesian"
"184","Jarael","A young female Arkanian in the comic book series Star Wars: Knights of the Old Republic","welsh"
"185","Carnor Jax","Member of the Emperor's Royal Guard who bribed the Emperor's physician to poison Palpatine's clones. Antagonist of the Crimson Empire series.","catalan"
"186","Jedgar","Apprentice of Kadann who became the leader of the Prophets of the Dark Side after the death of Kadann.","middle_frisian"
"187","Jek-14","Sith Clone created by Count Dooku. From the Yoda chronicles.","lithuanian"
"188","Greeata Jendowanian","A Rodian backup singer and dancer for the Max Rebo Band in the Special Edition of ""Return of the Jedi"".","indonesian"
"189","Jerec","Dark Jedi and main antagonist in Star Wars Jedi Knight: Dark Forces II.","latin"
"190","Moff Jerjerrod","Commanding officer of the second Death Star.","middle_frisian"
"191","Commander Jet","The Clone Commander of Ki-Adi-Mundi in The Clone Wars in the episode Landing at point rain.","danish"
"192","Dexter Jettster","A four-armed alien that wears a heavily stained apron. He was shot while delivering bantha burgers to the Jedi Temple, as Darth Vader and the 501st Legion were cleansing it. He was a good friend of Obi-Wan's.","norwegian"
"193","Qui-Gon Jinn","Jedi Master trained by Count Dooku. Trains Obi-Wan Kenobi. Found Anakin Skywalker on Tatooine and vowed to train him but was killed by Darth Maul.","scots_gaelic"
"194","Jubnuk","One of Jabba the Hutt's Gamorrean guards. He was eaten alive by the Rancor.","indonesian"
"195","Bardan Jusik","Jedi Knight who fought in the Clone Wars, later left the Jedi Order to become a medic, and eventually joined the Mandalorians.","indonesian"
"196","Tenel Ka","Daughter of Isolder and Teneniel Djo, Tenel Ka was a childhood friend of Jacen and Jaina Solo at the Jedi Academy. After losing an arm during her Jedi training, Tenel Ka would serve the Jedi Order as a Knight throughout the Yuuzhan Vong War before resigning due to her commitment as the Hapan Queen Mother of the Hapes Consortium. She later became a mother with the birth of Allana, who Jacen Solo fathered. The two had a secret love, due to the Hapan population's hatred for Jedi, and after Jacen turned to the Dark Side and became Darth Caedus, Tenel Ka withdrew Hapes from the Galactic Alliance. After Caedus's defeat, Tenel Ka sent Allana to live with her grandparents, Han and Leia Solo, for her own safety.","estonian"
"197","Tee Watt Kaa","A Lurmen elder who led his people away from their war-torn homeworld, eventually landing on Maridun during the Clone Wars. He was extremely devoted to the traditions of his people and a strict pacifist. He cared greatly for such ideals, and firmly believed the Republic was no better than the Separatists because the two were equally responsible for the war.","finnish"
"198","Kadann","Dark Jedi who lead the Prophets of the Dark Side during the reign of the Galactic Empire and served as Palpatine's Supreme Prophet.","scots_gaelic"
"199","Captain Kael","Captain in the Naboo Royal Security Forces during the invasion of Naboo. Featured in Star Wars: Episode I: Battle for Naboo.","rumantsch"
"200","Kir Kanos","Anti-hero of the Crimson Empire series. Kir Kanos was chosen by IGN's Jesse Schedeen as the 23rd top Star Wars hero, noting how he could also qualify for a ""top villains list"".","lithuanian"
"201","Admiral Saul Karath","Admiral of the Sith Navy during the Jedi Civil War.","indonesian"
"202","Karina the Great","Queen of Geonosis during the Clone Wars.","english"
"203","Nomen Karr","Jedi who served as Jaesa Willsaam's Jedi Master. He was Darth Baras' personal nemesis and was one of the Jedi Order's most seasoned veterans during the Cold War. He was known to touch the dark side of the Force while within the lines of the Sith Empire, yet remained true to the Jedi Code.","middle_frisian"
"204","Talon Karrde","Smuggler introduced in Timothy Zahn's Thrawn trilogy.","esperanto"
"205","Jodo Kast","A bounty hunter who wears Mandalorian armor. Is mistaken for, and later killed by, Boba Fett. Adam Rosenburg, from UGO Networks, listed Kast as the 9th worst Star Wars Expanded Universe character, calling him a ""Boba Fett wannabee"".","czech-iso8859_2"
"206","Kyle Katarn","The player's character in the first three Jedi Knight and Dark Forces video games.","danish"
"207","King Katuunko","Toydarian monarch who aided the Republic during the Clone Wars. He was killed by Savage Opress after the Battle of Sullust.","tagalog"
"208","Coleman Kcaj","Ongree Jedi Master on the Jedi High Council in Revenge of the Sith.","esperanto"
"209","Obi-Wan Kenobi","A wise and skilled Jedi Master who trains Anakin Skywalker and Luke Skywalker. A member of the Jedi Council and one of the Jedi survivors of Order 66. Obi-Wan Kenobi was also a Jedi General during the Clone Wars. Obi-Wan also killed General Grievous and defeated Darth Maul. His master is Qui-Gon Jinn, who was killed by Darth Maul. He was later slain by his old padawan Anakin Skywalker who had become Darth Vader.","slovenian-iso8859_2"
"210","Gavar Khai","Sith Saber in the Fate of the Jedi series; Vestara Khai's father.","icelandic"
"211","Vestara Khai","Sith apprentice in the Fate of the Jedi series; love interest of Ben Skywalker.","finnish"
"212","Ki-Adi-Mundi","Cerean Jedi Master and Jedi Council member in the prequel trilogy. He was one of the leaders of the Jedi strike force sent to rescue Obi-Wan Kenobi, Anakin Skywalker and Padme Amidala on Geonosis. Killed on Mygeeto during Order 66 by Commander Bacara and his clone troopers.","indonesian"
"213","Klaatu","A species employed as Jabba the Hutt's skiff guards from Return of the Jedi. Klaatu's are green, lizard-like humanoids. Both character was included in trading cards and action figures. The more prominent one who was on one of the smaller skiffs is later given the name Wooof while the other Klatu, seen in a white jump suit in the same scene as Wooof in Return of the Jedi, is never named.","malay"
"214","Kleef","Gungan mercenary operating as a member of Chop'aa Notimo's mercenary gang; kidnapped Senator Garm Bel Iblis on Notimo's orders. He was killed by Starkiller in Cloud City.","middle_frisian"
"215","Ken","The son of Triclops and grandson of Palpatine. Born on Kessel and taken to live in the Lost City of the Jedi underneath Yavin 4. He was found by Luke Skywalker, who then inducted him into the Rebel Alliance. First appears in The Lost City of the Jedi.","german"
"216","Derek ""Hobbie"" Klivian","Rogue Squadron pilot in The Empire Strikes Back.","danish"
"217","Agen Kolar","Zabrak Jedi Master in Attack of the Clones, Revenge of the Sith and the Clone Wars series. Wielded a green lightsaber in Attack of the Clones and a blue one in Revenge of the Sith, where he was on the Jedi High Council until killed by Darth Sidious.","german"
"218","Plo Koon","Kel Dor Jedi Master and Jedi Council member in the prequel trilogy and Expanded Universe. He discovered Togruta Padawan Ahsoka Tano and participated in many battles of the Clone Wars. In Revenge of the Sith, his ship was shot down on the skies of Cato Neimoidia by his own military escort (a squadron of ARC-170 starfighters led by Captain Jag) immediately after they received the infamous order 66 (issued from Coruscant by Palpatine in person).","tagalog"
"219","Jaden Korr","Apprentice of Kyle Katarn. Main protagonist of Star Wars: Jedi Knight: Jedi Academy.","german"
"220","General Rahm Kota","Jedi Master who served as a General during the Clone Wars; managed to survive Order 66 and escape to Nar Shaddaa. In The Force Unleashed, he attacks an Imperial TIE fighter facility with a band of militia. Originally an enemy to Darth Vader's apprentice, Starkiller, but later becomes his mentor. Is also considered a founding member of the Rebel Alliance.","indonesian"
"221","Krayn","Slave-trader who often conducted raids on Tatooine. Killed by Anakin Skywalker on a mission to Nar Shaddaa.","manx"
"222","Darth Krayt","The main antagonist of the Star Wars: Legacy comic series. Formerly known as A'Sharad Hett, he served during the Clone Wars. He managed to survive the early stages of the Great Jedi Purge and exiled himself to Tatooine, but fled Tatooine after encountering Obi-Wan Kenobi. He fled to Korriban, where he was trained as a Sith Lord. After several hundred years in an extended periods of stasis, Krayt formed the One Sith and overthrew the Galactic Federation of Free Alliances, forming a new Sith Empire in its place.","indonesian"
"223","General Pong Krell","A Besalisk Jedi who serves as a temporary commander of the 501st during the Battle of Umbara during the Clone Wars. He hated clones and had secret aspirations to be Count Dooku's new apprentice.","german"
"224","Ludo Kressh","Sith Lord who lived during the Great Hyperspace War. He was Naga Sadow's greatest rival, and fought him for the title of Dark Lord of the Sith following the death of Marka Ragnos.","portuguese"
"225","K'Kruhk","Whipid Jedi Master who fought during the Clone Wars and survived the Great Jedi Purge. He lived from around the end of the Galactic Republic to the time of the One Sith and the Second Imperial Civil War.","indonesian"
"226","Satine Kryze","Duchess of Mandalore who wanted to keep Mandalore out of the Clone Wars. She formed and lead the Council of Neutral Systems as a result.","german"
"227","Exar Kun","Fallen Jedi who establishes a dark side presence on Yavin IV. Exar Kun was a human male Jedi Knight whose quest for forbidden led to his fall to the dark side. Becoming the Dark Lord of the Sith, he led the Brotherhood of the Sith against the Jedi and the Galactic Republic during the Great Sith War. Exar Kun stood out because he was a tall, athletic man with very long, black hair. He sported three parallel claw marks on his right cheeks from Sylvar during a sparring match.","catalan"
"228","An'ya Kuro","Also known as ""the Dark Woman"", Kuro was a Jedi Master who fought in the Clone Wars. She was Aurra Sing's Master before Sing left the Jedi to become a bounty hunter, and was also A'Sharad Hett's second Jedi Master. She has the distinction of being the final Jedi killed during the Great Jedi Purge.","tagalog"
"229","Warmaster Tsavong Lah","The first Warmaster during the Yuuzhan Vong invasion. Following his demise in the novel Destiny's Way, he was replaced by Nas Choka.","german"
"230","Beru Lars","Owen Lars' girlfriend in Attack of the Clones then wife in Revenge of the Sith; the two take custody of the infant Luke Skywalker at the end of the latter film. She is killed by stormtroopers in A New Hope.","german"
"231","Cliegg Lars","Moisture farmer who purchased, then freed and married Shmi Skywalker, becoming the stepfather of Anakin Skywalker, whom he meets only briefly in Attack of the Clones. He loses his leg when pursuing the Sand People who had kidnapped Shmi. The name — and variations of — Cliegg has been in Star Wars drafts since 1974.","catalan"
"232","Owen Lars","Son of Cliegg Lars and stepbrother of Anakin Skywalker. He and his wife take custody of Luke Skywalker in Revenge of the Sith. He and Beru are killed by stormtroopers in A New Hope. In the novelization, he is curiously referred to as the brother of Obi-Wan Kenobi.","german"
"233","Bevel Lemelisk","Noted engineer and architect who was known particularly for his creation of superweapons; he designed six, five of them for the Galactic Empire, including both the first and the second Death Stars.","danish"
"234","Xamuel Lennox","Imperial navy captain who served in Darth Vader's Death Squadron as captain of the Star Destroyer Tyrant.","catalan"
"235","Lobot","Lando Calrissian's cyborg aide in The Empire Strikes Back.","catalan"
"236","Logray","An Ewok medicine man.","tagalog"
"237","Lowbacca","Wookiee Jedi Knight and Chewbacca's nephew. UGO Networks listed the character as the 11th worst Expanded Universe character, saying that while they did not have any problems with the character as a whole, his name ""has got to go"".","catalan"
"238","Lumiya","Introduced in Marvel's Star Wars comics as a Dark Jedi who serves a foil for Luke Skywalker after the fall of the Empire. She returns in the Legacy of the Force series, where she trains Jacen Solo in the ways of the Sith and turns him to the dark side of the Force.","tagalog"
"239","General Crix Madine","Imperial officer who defects to the Rebel Alliance.","catalan"
"240","Shu Mai","Presidente of the Commerce Guild, member of the Separatist Council. She was killed by Darth Vader on Mustafar along with the rest of the Separatist Council in Revenge of the Sith.","indonesian"
"241","Mako","The first (romanceable) companion in the Bounty Hunter storyline of the MMORPG Star Wars: The Old Republic.","tagalog"
"242","Darth Malak","Darth Revan's apprentice; the main antagonist of Star Wars: Knights of the Old Republic.","indonesian"
"243","Malé-Dee","Senator of Uyter in Revenge of the Sith.","middle_frisian"
"244","Darth Malgus","A Sith Lord and central character featured in Star Wars The Old Republic.","irish"
"245","Mama the Hutt","Ziro the Hutt, Zorba the Hutt, Ebor the Hutt, Pazda the Hutt and Jiliac the Hutt's mother and Jabba the Hutt's grandmother. Ziro and his girlfriend Sy Snootles take Mama's starship. Obi-Wan Kenobi then confronts Mama about the incident. She is Rotta the Huttlet's great grandmother.","scots"
"246","Ody Mandrell","Er'Kit podracer who participates in the Boonta Eve Classic podrace in Star Wars Episode I: The Phantom Menace.","middle_frisian"
"247","Galen Marek","Darth Vader's secret apprentice, also known as Starkiller, in The Force Unleashed multimedia project. He becomes a Jedi and sacrifices himself in a duel with Palpatine and Darth Vader.","hungarian"
"248","Kento Marek","The father of Starkiller. Darth Vader discovers him hiding on Kashyyyk and kills him at the beginning of Star Wars: The Force Unleashed, then takes his young son as his secret apprentice.","esperanto"
"249","Darth Marr","A Human male Dark Lord of the Sith who served on the Dark Council of the resurgent Sith Empire during the Great Galactic War, the Cold War, and the Galactic War. He headed the Sphere of Defense of the Empire.","irish"
"250","Darth Maul","Darth Sidious' apprentice in The Phantom Menace, defeated by Obi-Wan Kenobi. He later returns in The Clone Wars [Sam Witwer] with his kin, Savage Opress, to get revenge on Obi-Wan Kenobi.","welsh"
"251","Mawhonic","Gran podracer at the Boonta Eve Classic in The Phantom Menace.","scots"
"252","Droopy McCool","Member of the Max Rebo Band. He is a Kitonak.","middle_frisian"
"253","Pharl McQuarrie","Alliance general that appears in Star Wars Episode V: The Empire Strikes Back.","catalan"
"254","MD-5","A medical droid serving Trioculus that first appears in The Glove of Darth Vader.","german"
"255","Lyn Me","A Twi'lek backup singer and dancer for the Max Rebo Band in the Special Edition of ""Return of the Jedi"".","middle_frisian"
"256","Tion Medon","Local administrator on Utapau in Revenge of the Sith.","english"
"257","Darth Millennial","A three-eyed mutant Sith Lord who could see into the future. He believed that he was a prophet chosen by the will of the Force and would become the founder of the Prophets of the Dark Side.","welsh"
"258","General Rom Mohc","Creator of the Dark Trooper program in Dark Forces and the game's final boss.","slovak-windows1250"
"259","Kasan Moor","Former commander of the 128th TIE Interceptor Squadron, member of Rogue Squadron. Featured in the video game Star Wars: Rogue Squadron.","indonesian"
"260","Sly Moore","One of Palpatine's personal aides.","middle_frisian"
"261","Morley","A snake-like Anacondan that helped Darth Maul survive on the junk world of Lotho Minor. He leads Savage Opress to his long lost brother.","manx"
"262","Bengel Morr","Nautolan Dark Jedi who was originally Orgus Din's Padawan. He was initially thought to have been killed during the Sacking of Coruscant, but instead was left insane. He later becomes the leader of the Flesh Raiders on Tython, and plans to rebuild the Jedi Order into a weapon to destroy the Sith. He serves as the main antagonist of the Hero of Tython's prologue in Star Wars: The Old Republic. He is later cured of his insanity.","german"
"263","Mon Mothma","Republic senator; later, co-founder and leader of the Rebel Alliance, appears in JK2.","scots"
"264","Admiral Conan Antonio Motti","Officer aboard the Death Star so overconfident in its power that he dared belittle Lord Vader about his faith in the Force, and who was almost choked to death by Vader for that insolence before Grand Moff Tarkin ordered Vader to stop. George Lucas, in a May 1, 2007 appearance on Late Night with Conan O'Brien, gave Motti's full name as ""Conan Antonio Motti"".","catalan"
"265","Kud'ar Mub'at","The only known fully developed member of the Assembler species. He served as a go-between and middleman for many of the less legal activities of the galaxy. Prominent character in The Bounty Hunter Wars series.","middle_frisian"
"266","Karness Muur","One of the very first Sith Lords, a former Jedi who turned to the Dark Side during the Hundred-Year Darkness. He served as the main antagonist of the comic series Vector which spanned Knights of the Old Republic, Dark Times, Rebellion and Legacy. He was the inventor of the Rakghoul Plague.","german"
"267","Grand Moff Muzzer","an Imperial Grand Moff featured in the novel The Glove of Darth Vader. He is shot in the leg by Tibor, Zorba the Hutt's personal bounty hunter, when the Moffship pulls the Zorba Express into the moffship, but survives.","german"
"268","Jobal Naberrie","Padmé Amidala's mother","basque"
"269","Pooja Naberrie","Daughter of Sola Naberrie and niece of Padmé Amidala. She replaced Jar Jar Binks as Senator of the Chommell Sector. She was also the cousin of Luke Skywalker and Leia Organa.","slovenian-iso8859_2"
"270","Ruwee Naberrie","Padmé Amidala's father","german"
"271","Ryoo Naberrie","Padmé Amidala's niece.","manx"
"272","Sola Naberrie","Padmé Amidala's older sister","slovak-ascii"
"273","Freedon Nadd","A Jedi turned Sith in the Tales of the Jedi series. He was the main instigator in Exar Kun's fall to the dark side.","welsh"
"274","Momaw Nadon","Ithorian seen in the Mos Eisley cantina in A New Hope. Named ""Hammerhead"" during the Kenner action figure runs of the 1970s and 1980s.","tagalog"
"275","Boss Rugor Nass","Gungan leader in The Phantom Menace, and attends Padmé Amidala's funeral in Revenge of the Sith.","portuguese"
"276","Captain Lorth Needa","Captain of the Star Destroyer Avenger killed by Darth Vader for failing to capture the Millennium Falcon in The Empire Strikes Back.","manx"
"277","Queen Neeyutnee","Ruler of Naboo during the Clone Wars, succeeding Queen Jamillia.","finnish"
"278","Darth Nihl","Nagai warlord who became a member of Darth Krayt's One Sith, and later became his chief enforcer. Following Krayt's death and the dissolution of his empire, Nihl assumed leadership of the surviving members of the One Sith.","irish"
"279","Darth Nihilus","The main antagonist of Star Wars: Knights of the Old Republic II – The Sith Lords; and the leader of the Sith Triumverate.","irish"
"280","Ona Nobis","Sorrusian bounty hunter who primarily captured test subjects for Jenna Zan Arbor so Zan Arbor could conduct her experiments on the Force. She used the alias ""Reesa On"".","slovenian-iso8859_2"
"281","Chop'aa Notimo","Mandalorian mercenary and crime lord who orchestrated the kidnapping of Senator Garm Bel Iblis. He was killed by Starkiller in Cloud City.","tagalog"
"282","Jocasta Nu","Jedi librarian. Killed by Darth Vader during Order 66.","romanian"
"283","Po Nudo","Aqualish Senator who became a member of the Separatist Council, representing the Hyper-Communications Cartel. He was killed along with the rest of the Separatist Council by Darth Vader on Mustafar in Revenge of the Sith.","slovenian-iso8859_2"
"284","Nien Nunb","A Sullustan smuggler, he was Lando Calrissian's co-pilot in Return of the Jedi.","middle_frisian"
"285","Astri Oddo","Friend of Obi-Wan Kenobi and ally of the Jedi Order. She is a prominent character in all of the Star Wars books written by Jude Watson.","slovenian-iso8859_2"
"286","Barriss Offee","Jedi Padawan of Luminara Unduli. She was a friend of Ahsoka Tano, but she betrayed her and orchestrated a terrorist bombing after she became disillusioned with the Jedi Order's wartime policies. Offee was killed by Galle of the 327th Star Corps during Order 66.","manx"
"287","Hondo Ohnaka","Leader of a gang of space pirates. Despite being a pirate, Hondo believes in honor; however, he is not above sneaky tactics. He considered his capture and selling of Dooku, Obi-wan and Anakin to the Republic and Sith sides of the war to be ""good business"", even wishing to be aquantices afterwards; he did seem to be on good terms with Obi-wan and Anakin later. He later helped make Boba give information to the Jedi by explaining that his father Jango would do it because it's honorable. Hondo even faced the Sith Lord Darth Maul, shooting off one of his mechanical legs. When he his men originally betrayed him to work for Maul, Hondo felt proud of them, and betrayed. He is willing to do any kind of job, including the delivery of weapons, and keep his mouth shut, if the price is right.","swahili"
"288","Ric Olié","Pilots the queen's ship and an N-1 starfighter in The Phantom Menace.","czech-iso8859_2"
"289","Ferus Olin","Former Jedi Padawan who joined Obi-Wan Kenobi in searching for any Jedi who survived Order 66 and the subsequent Great Jedi Purge. Main protagonist of Jude Watson's The Last of the Jedi series.","german"
"290","Cal Omas","Politician and leader of the Galactic Federation of Free Alliances in the New Jedi Order and Legacy of the Force series.","catalan"
"291","Omega Squad","A four-man Republic Commando unit featured in the books Star Wars Republic Commando: Hard Contact and Star Wars Republic Commando: Triple Zero.","slovenian-iso8859_2"
"292","Granta Omega","The son of the Dark Jedi Xanatos who wanted revenge on the Jedi Order, blaming them for the death of his father. He became enemies with Obi-Wan Kenobi in particular, battling him multiple times. He is one of the central antagonists of the Jedi Quest book series.","esperanto"
"293","Carth Onasi","Character who appears in Star Wars: Knights of the Old Republic and is referenced in Star Wars: Knights of the Old Republic II – The Sith Lords.","welsh"
"294","Onimi","Depicted throughout most of the New Jedi Order series as a ""shamed one"", The Unifying Force reveals that Onimi in fact controls Overload Shimrra. Jacen Solo kills Onimi in the series' final book.","slovenian-iso8859_2"
"295","Oola","Young Twi'lek dancer enslaved by Jabba the Hutt and chained to his throne. Killed by Jabba's Rancor Monster.","slovenian-iso8859_2"
"296","Savage Opress","A warrior of the Nightbrother clan on the planet Dathomir, Darth Maul's brother alongside Feral. He is hand picked by Asajj Ventress as part of her scheme to kill Count Dooku for the attempt on her life and is altered by the Nightsisters, becoming more of a berserker on Ventress' call to the point of killing Feral without remorse, Opress manages to become Dooku's new apprentice and learns only a bit in the ways of the Sith before Ventress has him help her fight Dooku, due to his actions under him getting unwanted attention from the Jedi. However, in the heat of the moment and provoked by both of them, Opress tries to kill both Dooku and Ventress before escaping the Jedi and instructed by Mother Talzin to find Maul so he can complete his training to defend himself against the numerous enemies he has made. Finding Maul a shell of his former self on a junk planet, Opress manages to stir up his brother's grudge with Obi-Wan to aid him in his revenge against the Jedi. Later killed by Darth Sidious on Mandalore.","rumantsch"
"297","Canderous Ordo","Mandalorian warrior who fought in the Mandalorian Wars. Later becomes ruler of Mandalore under the name ""Mandalore the Preserver"". Playable character in both Star Wars: Knights of the Old Republic and Knights of the Old Republic II – The Sith Lords.","portuguese"
"298","Bail Prestor Organa","Leia Organa's adoptive father. He is the Senator of Alderaan and one of the Rebel Alliance's founding members. He was killed in the destruction of Alderaan. Adrian Dunbar portrayed Organa for scenes cut from The Phantom Menace. Smits voiced the character for The Force Unleashed, while Phil LaMarr voices him in Rebels.","portuguese"
"299","Queen Breha Organa","Ruler of Alderaan, wife of Bail Organa, and adoptive mother of Leia Organa. She was killed in the destruction of Alderaan alongside her husband.","basque"
"300","Princess Leia Organa","Luke Skywalker's sister and Han Solo's wife. Leader in the Rebel Alliance and the New Republic.","rumantsch"
"301","Orrin","a male Neimoidian ally of the CIS during the Clone Wars.","basque"
"302","Jan Ors","Kyle Katarn's pilot and love interest.","middle_frisian"
"303","General Otto","Imperial officer who deserted the Empire. First appears in the game Star Wars: Demolition and appears later in Star Wars Galaxies.","italian"
"304","Admiral Ozzel","Initial commander of Darth Vader's Super Star Destroyer Executor in The Empire Strikes Back. Vader kills Ozzel for his incompetence. George Lucas remarked that Sheard produced ""the best screen death"" he'd seen.","hungarian"
"305","Pablo-Jill","Ongree Jedi Knight from Attack of the Clones. He was seen in the Jedi Temple and was present at the Battle of Geonosis, where he wielded a blue lightsaber.","tagalog"
"306","Ajunta Pall","Leader of the Dark Jedi of the Hundred Year Darkness and the very first Dark Lord of the Sith. In Star Wars: Knights of the Old Republic, his spirit continues to haunt his tomb on Korriban before being redeemed by Revan.","catalan"
"307","Emperor Sheev Palpatine","Naboo senator and later Supreme Chancellor of the Republic. He is also known as Darth Sidious, a Dark Lord of the Sith. His machinations turn the Galactic Republic into the Galactic Empire. He lures Anakin Skywalker to the dark side of the Force and renames him Darth Vader. He is eventually killed by a redeemed Anakin Skywalker.","slovenian-iso8859_2"
"308","Captain Panaka","Captain of the queen's guard in The Phantom Menace who eventually becomes an Imperial moff.","tagalog"
"309","Baron Papanoida","Pantoran Senator and Chairman of the Pantoran Assembly. Papanoida is voiced by Corey Burton in Star Wars: The Clone Wars, but is portrayed briefly in Revenge of the Sith by George Lucas, making that the only appearance Lucas makes on-screen in any of the Star Wars films.","tagalog"
"310","Chi Eekway Papanoida","Daughter of Baron Papanoida who represented the planet Wroona in the Galactic Senate. She appeared in scenes deleted from Revenge of the Sith as one of the senators of the Delegation of 2000.","tagalog"
"311","Paploo","One of the Ewoks in Return of the Jedi. He steals a speeder from the scout troopers.","tagalog"
"312","Kazdan Paratus","Aleena Jedi Master and survivor of the Great Jedi Purge living in exile on the junk world Raxus Prime. He descended into insanity after Order 66 was carried out, and was killed by Starkiller on Darth Vader's orders.","indonesian"
"313","Jax Pavan","Male human survivor of Order 66 and protagonist in the Coruscant Nights series.","catalan"
"314","Gilad Pellaeon","Imperial officer introduced in Timothy Zahn's Thrawn trilogy who rises to lead the Imperial Remnant.","breton"
"315","Rosh Penin","The student of Kyle Katarn in the Jedi Knight: Jedi Academy game.","slovenian-iso8859_2"
"316","Sate Pestage","Longtime advisor and right-hand of Palpatine, serving as his advisor during his days as a Senator and Supreme Chancellor and later as the Grand Vizier of the Galactic Empire. Following Palpatine's death at the Battle of Endor, Pestage took his place as Emperor, but was later betrayed by the other Imperial Advisors when he agreed to turn Coruscant over to the New Republic. He was executed by Ysanne Isard's agents.","danish"
"317","Even Piell","Lannik Jedi Master and Jedi Council member in The Phantom Menace, Attack of the Clones, and the Clone Wars television series.","catalan"
"318","Firmus Piett","Imperial officer, initially a captain, who is promoted to replace Admiral Ozzel as commanding officer of the Executor after Vader kills Ozzel.","finnish"
"319","Darth Plagueis","A Muun Sith Lord, whose birth name was Hego Damask, mentioned in Revenge of the Sith. Plagueis was a student of the Bith Sith lord Darth Tenebrous and the head of a powerful banking consortium on the Muun homeworld. He discovered and recruited the teenaged Palpatine of Naboo and trained him in the dark side of the Force as his apprentice Darth Sidious. Plagueis also made a grand plan to ensure the Sith would defeat the Jedi by undermining the Galactic Republic and ensure the dominance of the Dark Side of the Force. Palpatine tells Anakin Skywalker that Darth Plagueis became so powerful that he was able to create life by influencing the midi-chlorians and could save people from dying. Darth Plagueis is the only one who has achieved this power. Palpatine (later betrayed by his apprentice Darth Vader) tells Anakin Skywalker that Plagueis was killed by his apprentice in his sleep and was obsessed with finding the key to immortality, all of which were confirmed in the Darth Plagueis novel.","irish"
"320","Poggle the Lesser","Archduke of Geonosis and one of the Separatist leaders killed by Darth Vader on Mustafar. He was part of the Techno Union.","english"
"321","Yarael Poof","A Jedi Master on the Jedi High Council in The Phantom Menace.","welsh"
"322","Jek Tono Porkins","A corpulent X-wing pilot codenamed ""Red Six"" killed in A New Hope.","slovenian-iso8859_2"
